رقم الملف,رقم القرار,تاريخ القرار,محكمة الاستئناف,القاعدة القانونية,معاينة القرار الاستئنافي
2023/1221/154,2023/1221/4145,2023-11-20,محكمة الاستئناف بأكادير,‫• الأوامر المبنية على طلب – نص المادة ‪ 148‬من قانون المسطرة المدنية.‬‬‬ ‫• الطلب الرامي إلى معاينة من يتواجد في العقار واستفساره عن هويته وسند تواجده-‬‬ ‫اجراء مستعجل لمعاينة المتواجد في المحل - ليس فيه أي مساس بحقوق الأطراف - لم يرد بشأنه‬‬ ‫أي نص خاص - يختص به الأوامر المبينة على طلب في اطار المجال الولائي العام لغياب النص‬‬ ‫الخاص بذلك.‬‬,
2023/8226/3410,2023/8226/6250,2023-11-14,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8230/2599,2023/8230/6190,2023-11-13,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/1221/210,2023/1221/4016,2023-11-13,محكمة الاستئناف بأكادير,‫• مسطرة بطلان إجراءات الاكراه البدني.‬‬ ‫• لا يكفي امتلاك المدين لأموال عقارية للأمر بعدم صحة اجراءات الاكراه البدني - يجب‬‬ ‫في اموال المدين بالتنفيذ أن تكون ناضة وقابلة للتنفيذ عليها ومستحقة لفائدة المنفذ عليه.‬‬ ‫• لا يكفي ملكية المنفذ عليه لأموال عقارية مثقله بحجوزات وتقييدات احتياطية لفائدة‬‬ الغير لبطلان اجراءات الاكراه البدني.‬‬ ‫• يجب على المنفذ عليه اثبات ان الاموال المملوكة له كافية لاستفادة الدائن بالتنفيذ من‬‬ ‫أمواله والتنفيذ عليها.‬‬ ‫• جرد ملكية المدين للأموال المنقولة والعقارية لا يبرر وقف اجراءات الاكراه البدني‬‬ والقول ببطلان هذه الاجراءات المرتبطة به - وجوب استمرار التنفيذ عن طريق الاكراه البدني.‬‬,
2023/8226/2352,2023/8226/6156,2023-11-09,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8226/2184,2023/8226/6170,2023-11-09,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2022/8228/2003,2023/8228/2259,2023-11-08,محكمة الاستئناف التجارية بمراكش,إن البرامج المعلوماتية المشمولة بالحماية القانونية هي تلك المسجلة في مكتب الملكية الفكرية,معاينة القرار الاستئنافي
2023/8226/3795,2023/8226/6062,2023-11-07,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8201/1495,2023/8201/2247,2023-11-02,محكمة الاستئناف التجارية بمراكش,لما التزم الطرف المستانف بتقديم الحساب بمقتضى البند 2 من الفقرة 2 من عقد الشركة و لم يثبت انه ضخ أي مبالغ مالية في حساب الشركة مكتفيا بان مساهمته في الشركة هي تقديم الخبرة دون اثبات يكون تبعا لذلك تقديم طلب المحاسبة ضد الشريك غير مرتكز على أساس تعاقدي,معاينة القرار الاستئنافي
2023/8220/1812,2023/8220/2219,2023-11-01,محكمة الاستئناف التجارية بمراكش,الالتزام مع طلب رفع اليد الذي تشعر فيه الموثقة البنك الدائن بانها تسلمت مبلغ الدين المضمون بالرهن يبرئ ذمة المدين، طالما ان هذا الالتزام صادر عنها في إطار مهنتها الحرة المنظمة قانونا باستقلال عن طرفي العلاقة التعاقدية التي تعمل على توثيقها، وليس بصفتها نائبة عن المدين.,معاينة القرار الاستئنافي
2023/8202/1155,2023/8202/2209,2023-11-01,محكمة الاستئناف التجارية بمراكش,لما ثبت للمحكة مصدرة القرار المطعون فيه ان السيد وكيل الملك أحال الشكاية على السيد قاضي التحقيق الذي لم يصدر بشأنها بعد امرا بالمتابعة ورتبت على ذلك عدم قيام موجبات ايقاف البت لعدم تحريك الدعوى العمومية تكون قد طبقت القانون بشكل سليم وسايرت الثابت لها من وثائق الملف.,معاينة القرار الاستئنافي
2023/8201/2030,2023/8201/2190,2023-10-31,محكمة الاستئناف التجارية بمراكش,تبليغ الحكم المستانف للطاعنة في العنوان الوارد بالعقد يجعل التبليغ سليما ولا يمكن الاعتداد بالعنوان الوارد بالسجل التجاري في غياب اثبات معرفة المستانف عليه به متى قضي بعدم قبول الاستئناف لسلامة اجراءات تبليغ الحكم للقيم وانقضاء اجل الاستئناف فلا يجب على المحكمة في الجواب عن وسائل استئناف,معاينة القرار الاستئنافي
2023/8230/3571,2023/8230/5890,2023-10-31,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/8227/138,2023/8227/740,2023-10-30,محكمة الاستئناف التجارية بالدار البيضاء,الإختصاص,
2023/1221/177,2023/1221/3690,2023-10-28,محكمة الاستئناف بأكادير,‫• منازعات الملاك في اطار قانون الملكية المشتركة.‬‬ ‫• ان الأوامر الاستعجالية إجراءات وقتية ولا يمكن ان تمس بما يقضي به في الجوهر.‬‬ ‫• لقاضي الأوامر المستعجلة تفحص ظاهر المستندات لمعرفة الطرف الأجدر بالحماية‬‬ ‫وتقدير جدية الدفوع ومدى مساسها بجوهر النزاع من عدمه.‬‬ ‫• قيام اتحاد الملاك بتفعيل القرار المتخذ من قبل الجمع العام للملاك المشتركين والقاضي‬‬ ‫بإغلاق الممرات المؤدية إلى أماكن الترفيه من مسابح ومساحات خضراء وذلك بتخصيصها‬‬ ‫للملاك المشتركين الذين يؤدون مساهمات الملكية المشتركة، وذلك دون منع المالكين المختلفين‬‬ عن الأداء من الولوج إلى الأجزاء المفرزة أي الشقق المملوكة لهم.‬‬ ‫• مناقشة احقية المالك في اطار الملكية المشتركة في الولوج الى أماكن الترفيه مع عدم أدائه‬‬ ‫المستحقات المقررة في ذمته بمقتضى القانون- مناقشة الموضوع بين الطرفين – يعد خارجا عن‬‬ ‫اختصاص قاضي المستعجلات.‬‬,
2023/8216/1868,2023/8216/2172,2023-10-26,محكمة الاستئناف التجارية بمراكش,ادعاء الوفاء بالكمبيالة جزئيا او كليا يتعين ان يثبت بالطرق المحددة قانونا ولا يمكن الركون الى اليمين دون الادلاء بوكالة خاصة,معاينة القرار الاستئنافي
2023/8201/1655,2023/8201/2149,2023-10-25,محكمة الاستئناف التجارية بمراكش,الفصل 77 من قانون الالتزامات والعقود.,معاينة القرار الاستئنافي
2023/8221/1833,2023/8221/2153,2023-10-25,محكمة الاستئناف التجارية بمراكش,ان الكشوف الحسابية المتضمنة لعناصر المديونية تعد وسيلة اثبات بين البنك وعملائه في المنازعات القائمة بينهما ما لم ينازعوا في بياناتها او في واحدة العمليات المضمنة بها.,معاينة القرار الاستئنافي
2023/8211/1650,2023/8211/2137,2023-10-24,محكمة الاستئناف التجارية بمراكش,المتاجرة في منتوجات تحمل علامة مشابهة لما يشمله التسجيل دون الحصول على اذن تعتبر تزييفا دون ان يشفع للتاجر التمسك بحسن النية المتاجرة في منتوجات تحمل علامة مشابهة لما يشمله التسجيل دون الحصول على اذن تعتبر تزييفا دون ان يشفع للتاجر التمسك بحسن النية,معاينة القرار الاستئنافي
2023/8228/1533,2023/8228/2125,2023-10-24,محكمة الاستئناف التجارية بمراكش,"ان الطعن في إجراءات تبليغ الحكم المطعون فيه بالاستئناف بعلة ان الشخص المبلغ ليس مستخدما لدى المستأنفة دون الطعن بالزور في ما تضمنته شهادة التسليم من كون الشخص المبلغ له مستخدم لدى الشركة و يملك الصفة في تسلم طي التبليغ لا يكفي لاعتبار التبليغ باطلا , و ان الفصل 516 من ق م م انما يتعلق بضرورة توجيه الإجراءات الى الممثلين القانونين للشركات لا بتحديد الصفة في تسلم التبليغات التي تبقى خاضعة لمقتضيات المادة 38 من ق م م .",معاينة القرار الاستئنافي
2023/8226/3637,2023/8226/5731,2023-10-24,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
